Underlying Cause of Death, 2023, age 0-19, Injury Mechanism: by Intent, Age, Race, Sex
Notes,Injury Mechanism & All Other Leading Causes,Injury Mechanism & All Other Leading Causes Code,Injury Intent,Injury Intent Code,Single-Year Ages,Single-Year Ages Code,Single Race 6,Single Race 6 Code,Sex,Sex Code,Deaths,Population,Crude Rate
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Male,M,13,1266341,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,16 years,16,White,2106-3,Female,F,13,1567953,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Female,F,13,1540695,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,< 1 year,0,Black or African American,2054-5,Male,M,13,302357,Unreliable
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,< 1 year,0,Native Hawaiian or Other Pacific Islander,NHOPI,Female,F,13,6925,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,Native Hawaiian or Other Pacific Islander,NHOPI,Female,F,13,6925,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,17 years,17,White,2106-3,Male,M,13,1635178,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,19 years,19,Black or African American,2054-5,Male,M,13,324208,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,< 1 year,0,More than one race,M,Female,F,13,121556,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,16 years,16,Black or African American,2054-5,Male,M,13,346217,Unreliable
,Firearm,GRINJ-006,Homicide,3,10 years,10,Black or African American,2054-5,Male,M,12,318754,Unreliable
,Firearm,GRINJ-006,Homicide,3,18 years,18,More than one race,M,Male,M,12,108775,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,9 years,9,Black or African American,2054-5,Male,M,12,320789,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,18 years,18,American Indian or Alaska Native,1002-5,Male,M,12,35777,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,19 years,19,White,2106-3,Male,M,12,1640102,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,18 years,18,American Indian or Alaska Native,1002-5,Male,M,12,35777,Unreliable
,Suffocation,GRINJ-017,Suicide,2,19 years,19,Black or African American,2054-5,Male,M,12,324208,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,< 1 year,0,White,2106-3,Male,M,12,1286961,Unreliable
,"Other specified, classifiable Injury",GRINJ-018,Homicide,3,< 1 year,0,Black or African American,2054-5,Female,F,12,294247,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,5 years,5,White,2106-3,Male,M,12,1379534,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,15 years,15,Black or African American,2054-5,Male,M,12,347925,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,19 years,19,White,2106-3,Male,M,12,1640102,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,16 years,16,White,2106-3,Male,M,12,1653144,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,17 years,17,Black or African American,2054-5,Male,M,12,333117,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,Black or African American,2054-5,Female,F,12,317488,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,1 year,1,White,2106-3,Male,M,12,1300130,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Male,M,12,305271,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,4 years,4,White,2106-3,Female,F,12,1288027,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,5 years,5,White,2106-3,Female,F,12,1315921,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,7 years,7,White,2106-3,Female,F,12,1395357,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,10 years,10,White,2106-3,Male,M,12,1467514,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,13 years,13,White,2106-3,Male,M,12,1545577,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Female,F,12,1204770,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,2 years,2,Black or African American,2054-5,Male,M,12,303006,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,5 years,5,Black or African American,2054-5,Male,M,12,312556,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,Black or African American,2054-5,Male,M,12,314044,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,14 years,14,Black or African American,2054-5,Female,F,12,325128,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,18 years,18,Black or African American,2054-5,Female,F,12,317488,Unreliable
,Drowning,GRINJ-002,Unintentional,1,4 years,4,White,2106-3,Female,F,11,1288027,Unreliable
,Drowning,GRINJ-002,Unintentional,1,15 years,15,Black or African American,2054-5,Male,M,11,347925,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,4 years,4,White,2106-3,Male,M,11,1348099,Unreliable
,Firearm,GRINJ-006,Suicide,2,14 years,14,White,2106-3,Female,F,11,1502444,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,< 1 year,0,Black or African American,2054-5,Female,F,11,294247,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,19 years,19,American Indian or Alaska Native,1002-5,Female,F,11,33631,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,17 years,17,White,2106-3,Male,M,11,1635178,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,19 years,19,More than one race,M,Male,M,11,105212,Unreliable
,Poisoning,GRINJ-015,Homicide,3,1 year,1,Black or African American,2054-5,Male,M,11,305271,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,< 1 year,0,American Indian or Alaska Native,1002-5,Male,M,11,33988,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,14 years,14,Black or African American,2054-5,Male,M,11,335483,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,16 years,16,Black or African American,2054-5,Female,F,11,334108,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,16 years,16,Black or African American,2054-5,Male,M,11,346217,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,18 years,18,Black or African American,2054-5,Male,M,11,326551,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,13 years,13,White,2106-3,Male,M,11,1545577,Unreliable
,Non-Injury: Influenza & Pneumonia,GR113 077-078,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Male,M,11,1266341,Unreliable
,Non-Injury: Other diseases of respiratory system,GR113-089,"Non-Injury, no intent classified",9,2 years,2,White,2106-3,Female,F,11,1204770,Unreliable
,Non-Injury: Certain conditions originating in the perinatal period,GR113-108,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Male,M,11,305271,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,< 1 year,0,Native Hawaiian or Other Pacific Islander,NHOPI,Male,M,11,7349,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,2 years,2,Black or African American,2054-5,Male,M,11,303006,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Male,M,11,1413673,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,9 years,9,White,2106-3,Female,F,11,1401216,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,19 years,19,White,2106-3,Female,F,11,1555980,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,2 years,2,Black or African American,2054-5,Female,F,11,294313,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,3 years,3,Black or African American,2054-5,Female,F,11,294467,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,10 years,10,Black or African American,2054-5,Male,M,11,318754,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,12 years,12,Black or African American,2054-5,Male,M,11,322087,Unreliable
,Cut/Pierce,GRINJ-001,Homicide,3,18 years,18,White,2106-3,Male,M,10,1624405,Unreliable
,Drowning,GRINJ-002,Unintentional,1,2 years,2,More than one race,M,Male,M,10,124996,Unreliable
,Drowning,GRINJ-002,Unintentional,1,5 years,5,White,2106-3,Female,F,10,1315921,Unreliable
,Drowning,GRINJ-002,Unintentional,1,8 years,8,White,2106-3,Male,M,10,1473917,Unreliable
,Drowning,GRINJ-002,Unintentional,1,13 years,13,Black or African American,2054-5,Male,M,10,326716,Unreliable
,Fire/Flame,GRINJ-004,Unintentional,1,1 year,1,White,2106-3,Female,F,10,1240285,Unreliable
,Firearm,GRINJ-006,Unintentional,1,15 years,15,White,2106-3,Male,M,10,1648135,Unreliable
,Firearm,GRINJ-006,Suicide,2,12 years,12,White,2106-3,Male,M,10,1507635,Unreliable
,Firearm,GRINJ-006,Suicide,2,14 years,14,Black or African American,2054-5,Male,M,10,335483,Unreliable
,Firearm,GRINJ-006,Suicide,2,19 years,19,Asian,A,Male,M,10,129785,Unreliable
,Firearm,GRINJ-006,Homicide,3,17 years,17,More than one race,M,Male,M,10,114195,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,1 year,1,Black or African American,2054-5,Female,F,10,297286,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,3 years,3,Black or African American,2054-5,Female,F,10,294467,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,4 years,4,Black or African American,2054-5,Male,M,10,305855,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,13 years,13,Black or African American,2054-5,Female,F,10,315323,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,18 years,18,Asian,A,Male,M,10,126437,Unreliable
,Motor Vehicle Traffic,GRINJ-008,Unintentional,1,19 years,19,More than one race,M,Female,F,10,102063,Unreliable
,Other land transport,GRINJ-011,Unintentional,1,16 years,16,White,2106-3,Male,M,10,1653144,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,1 year,1,Black or African American,2054-5,Male,M,10,305271,Unreliable
,Poisoning,GRINJ-015,Unintentional,1,16 years,16,Black or African American,2054-5,Female,F,10,334108,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,2 years,2,Black or African American,2054-5,Male,M,10,303006,Unreliable
,Poisoning,GRINJ-015,Undetermined ,4,18 years,18,White,2106-3,Male,M,10,1624405,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,< 1 year,0,American Indian or Alaska Native,1002-5,Female,F,10,32589,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,Black or African American,2054-5,Female,F,10,297286,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,1 year,1,Black or African American,2054-5,Male,M,10,305271,Unreliable
,Suffocation,GRINJ-017,Unintentional,1,2 years,2,Black or African American,2054-5,Male,M,10,303006,Unreliable
,Suffocation,GRINJ-017,Suicide,2,11 years,11,White,2106-3,Female,F,10,1406762,Unreliable
,Suffocation,GRINJ-017,Suicide,2,16 years,16,Black or African American,2054-5,Male,M,10,346217,Unreliable
,Suffocation,GRINJ-017,Suicide,2,18 years,18,Black or African American,2054-5,Female,F,10,317488,Unreliable
,Suffocation,GRINJ-017,Undetermined ,4,< 1 year,0,Black or African American,2054-5,Male,M,10,302357,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,1 year,1,White,2106-3,Male,M,10,1300130,Unreliable
,Unspecified Injury,GRINJ-020,Homicide,3,2 years,2,Black or African American,2054-5,Female,F,10,294313,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,< 1 year,0,More than one race,M,Male,M,10,126722,Unreliable
,Non-Injury: Other and unspecified infectious and parasitic diseases and their sequelae,GR113-018,"Non-Injury, no intent classified",9,15 years,15,White,2106-3,Male,M,10,1648135,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,6 years,6,Black or African American,2054-5,Female,F,10,304906,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,11 years,11,Black or African American,2054-5,Female,F,10,309476,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,13 years,13,Black or African American,2054-5,Female,F,10,315323,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,17 years,17,Black or African American,2054-5,Female,F,10,325472,Unreliable
,Non-Injury: Malignant neoplasms (Cancers),GR113 020-043,"Non-Injury, no intent classified",9,19 years,19,Black or African American,2054-5,Male,M,10,324208,Unreliable
,"Non-Injury: In situ neoplasms, benign neoplasms and neoplasms of uncertain or unknown behavior",GR113-044,"Non-Injury, no intent classified",9,< 1 year,0,White,2106-3,Male,M,10,1286961,Unreliable
,Non-Injury: Diabetes mellitus,GR113-046,"Non-Injury, no intent classified",9,18 years,18,White,2106-3,Female,F,10,1540695,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,1 year,1,Black or African American,2054-5,Male,M,10,305271,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,15 years,15,White,2106-3,Female,F,10,1561932,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,18 years,18,Black or African American,2054-5,Male,M,10,326551,Unreliable
,Non-Injury: Diseases of Heart,GR113 055-068,"Non-Injury, no intent classified",9,19 years,19,Black or African American,2054-5,Male,M,10,324208,Unreliable
,"Non-Injury: Cerebrovascular diseases, including stroke",GR113-070,"Non-Injury, no intent classified",9,16 years,16,White,2106-3,Male,M,10,1653144,Unreliable
,Non-Injury: Chronic lower respiratory diseases,GR113 082,"Non-Injury, no intent classified",9,16 years,16,Black or African American,2054-5,Male,M,10,346217,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,2 years,2,Black or African American,2054-5,Female,F,10,294313,Unreliable
,"Non-Injury: Congenital malformations, deformations and chromosomal abnormalities",GR113-109,"Non-Injury, no intent classified",9,15 years,15,White,2106-3,Female,F,10,1561932,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,< 1 year,0,Native Hawaiian or Other Pacific Islander,NHOPI,Female,F,10,6925,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,6 years,6,White,2106-3,Male,M,10,1413673,Unreliable
,"Non-Injury: Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified",GR113-110,"Non-Injury, no intent classified",9,18 years,18,Black or African American,2054-5,Male,M,10,326551,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,3 years,3,Black or African American,2054-5,Male,M,10,303424,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,7 years,7,Black or African American,2054-5,Female,F,10,308013,Unreliable
,Non-Injury: All other diseases (Residual),GR113-111,"Non-Injury, no intent classified",9,13 years,13,Black or African American,2054-5,Female,F,10,315323,Unreliable
---,,,,,,,,,,,,,
"Dataset: Underlying Cause of Death, 2018-2023, Single Race",,,,,,,,,,,,,
Query Parameters:,,,,,,,,,,,,,
Single-Year Ages: < 1 year; 1 year; 2 years; 3 years; 4 years; 5 years; 6 years; 7 years; 8 years; 9 years; 10 years; 11 years;,,,,,,,,,,,,,
12 years; 13 years; 14 years; 15 years; 16 years; 17 years; 18 years; 19 years,,,,,,,,,,,,,
Year/Month: 2023,,,,,,,,,,,,,
Group By: Injury Mechanism & All Other Leading Causes; Injury Intent; Single-Year Ages; Single Race 6; Sex,,,,,,,,,,,,,
Show Totals: Disabled,,,,,,,,,,,,,
Show Zero Values: False,,,,,,,,,,,,,
Show Suppressed: False,,,,,,,,,,,,,
"Calculate Rates Per: 100,000",,,,,,,,,,,,,
Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups),,,,,,,,,,,,,
---,,,,,,,,,,,,,
Help: See http://wonder.cdc.gov/wonder/help/ucd-expanded.html for more information.,,,,,,,,,,,,,
---,,,,,,,,,,,,,
"Query Date: Apr 27, 2025 1:36:05 AM",,,,,,,,,,,,,
---,,,,,,,,,,,,,
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics",,,,,,,,,,,,,
"System, Mortality 2018-2023 on CDC WONDER Online Database, released in 2024. Data are from the Multiple Cause of Death Files,",,,,,,,,,,,,,
"2018-2023, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative",,,,,,,,,,,,,
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10-expanded.html on Apr 27, 2025 1:36:05 AM",,,,,,,,,,,,,
---,,,,,,,,,,,,,
Messages:,,,,,,,,,,,,,
"1. Selections made to any variable in [Injury Intent, Injury Mechanism & All Other Leading Causes] cause equivalent selections",,,,,,,,,,,,,
in the other variables. More Information: http://wonder.cdc.gov/wonder/help/faq.html#related-variables.,,,,,,,,,,,,,
2. Totals are not available for these results due to suppression constraints. More Information:,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/faq.html#Privacy.,,,,,,,,,,,,,
3. Rows with zero Deaths are hidden. Use Quick Options above to show zero rows.,,,,,,,,,,,,,
4. Rows with suppressed Deaths are hidden. Use Quick Options above to show suppressed rows.,,,,,,,,,,,,,
---,,,,,,,,,,,,,
Caveats:,,,,,,,,,,,,,
1. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Assurance of Confidentiality.,,,,,,,,,,,,,
2. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:,,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Unreliable.,,,,,,,,,,,,,
"3. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,",,,,,,,,,,,,,
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:",,,,,,,,,,,,,
http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Not Stated.,,,,,,,,,,,,,
"4. The population figures for years 2023 are single-race estimates of the July 1 resident population, from the Vintage 2023",,,,,,,,,,,,,
"postcensal series released by the Census Bureau on June 27, 2024. The 2023 series is based on the Modified Blended Base produced",,,,,,,,,,,,,
"by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The Modified Blended Base consists of the blend",,,,,,,,,,,,,
"of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic Analysis Estimates, and 2020 Census data",,,,,,,,,,,,,
from the internal Census Edited File (CEF). The population figures for years 2022 are single-race estimates of the July 1,,,,,,,,,,,,,
"resident population, from the Vintage 2022 postcensal series released by the Census Bureau on June 22, 2023. The 2022 series is",,,,,,,,,,,,,
"based on the Modified Blended Base produced by the US Census Bureau in lieu of the April 1, 2020 decennial population count. The",,,,,,,,,,,,,
"Modified Blended Base consists of the blend of Vintage 2020 postcensal population estimates for April 1, 2020, 2020 Demographic",,,,,,,,,,,,,
"Analysis Estimates, and 2020 Census data from the internal Census Edited File (CEF). The population figures for years 2021 are",,,,,,,,,,,,,
"single-race estimates of the July 1 resident population, based on the Blended Base produced by the US Census Bureau in lieu of",,,,,,,,,,,,,
"the April 1, 2020 decennial population count, from the Vintage 2021 postcensal series released by the Census Bureau on June 30,",,,,,,,,,,,,,
"2022. The population figures for year 2020 are single-race estimates of the July 1 resident population, from the Vintage 2020",,,,,,,,,,,,,
"postcensal series based on April 2010 Census, released by the Census Bureau on July 27, 2021. The population figures for year",,,,,,,,,,,,,
"2019 are single-race estimates of the July 1 resident population, from the Vintage 2019 postcensal series based on April 2010",,,,,,,,,,,,,
"Census, released by the Census Bureau on June 25, 2020. The population figures for year 2018 are single-race estimates of the",,,,,,,,,,,,,
"July 1 resident population, from the Vintage 2018 postcensal series based on April 2010 Census, released by the Census Bureau on",,,,,,,,,,,,,
"June 20, 2019. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Population Data.",,,,,,,,,,,,,
5. The population figures used in the calculation of death rates for the age group 'under 1 year' are the estimates of the,,,,,,,,,,,,,
resident population that is under one year of age. More information: http://wonder.cdc.gov/wonder/help/ucd-expanded.html#Age,,,,,,,,,,,,,
Group.,,,,,,,,,,,,,
"6. Beginning with the 2018 data, changes have been implemented that affect the counts for ICD-10 cause of death codes O00-O99",,,,,,,,,,,,,
"compared to previous practice. In addition, data for the cause of death codes O00-O99 for 2003 through 2017 reflect differences",,,,,,,,,,,,,
in information available to individual states and probable errors. Caution should be used in interpreting these data. More,,,,,,,,,,,,,
information can be found at: https://www.cdc.gov/nchs/maternal-mortality/.,,,,,,,,,,,,,
"7. Connecticut population estimates for 2022 and later years are reported for 9 planning regions as county equivalent areas,",,,,,,,,,,,,,
